id,user_location,date,text,source
1337789191598575616,Global,2020-12-12 15:59:32,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW",Twitter Web App
1337783770070409218,Türkiye,2020-12-12 15:38:00,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F",TweetDeck
1337781178665816064,"Bristol, UK",2020-12-12 15:27:42,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,Twitter for Android
1337776763384958976,"Los Angeles, CA",2020-12-12 15:10:09,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD",Twitter for iPhone
1337774279862185986,,2020-12-12 15:00:17,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj,Twitter Web App
1337774059237629952,"Rochester, NY",2020-12-12 14:59:25,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,Twitter for iPhone
1337773965595598848,"London, England",2020-12-12 14:59:02,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS",Buffer
1337773751841144833,"Mumbai, India",2020-12-12 14:58:11,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,Twitter Web App
1337770798770081796,,2020-12-12 14:46:27,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA",Twitter Web App
1337770118017900550,"Nottingham, England",2020-12-12 14:43:45,"No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432",Twitter Web App
1337769867676704770,Turkey-Israel,2020-12-12 14:42:45,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w",Twitter Web App
1337769507402768384,"Crete, Greece",2020-12-12 14:41:19,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6",Twitter for iPad
1337765770420506625,"Rome, Italy",2020-12-12 14:26:28,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg",Twitter for iPad
1337761915087560707,Not Today ,2020-12-12 14:11:09,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix,Twitter for iPhone
1337760271151063040,London,2020-12-12 14:04:37,"@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f",Twitter for Android
1337758104847572999,"Berlin, Germany",2020-12-12 13:56:01,@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,Twitter for iPhone
1337744008500703232,"Cranbury, NJ",2020-12-12 13:00:00,"#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last night

https://t.co/CtYGB3fNnE",TweetDeck
1337742598153383936,"Cork, Ireland",2020-12-12 12:54:24,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw,Twitter for iPhone
1337742528108519424,"London, England",2020-12-12 12:54:07,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX,Twitter for Android
1337739607857917954,"Nottinghamshire, England",2020-12-12 12:42:31,"An immigrant Muslim couple find the COVID-19 Vaccine. 

#CovidVaccine #PfizerBioNTech #Pfizervaccine #PfizerProud",Twitter for iPhone
1337735595704115200,,2020-12-12 12:26:34,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD",Twitter Web App
1337734069816348673,"دبي, الامارات العربية المتحدة",2020-12-12 12:20:30,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️",Twitter for Android
1337733927885303808,USA🇺🇸,2020-12-12 12:19:56,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE

#PfizerBioNTech 
#CovidVaccine 

https://t.co/xRaOiACZSD",Twitter Web App
1337733857349677059,"Wales, United Kingdom",2020-12-12 12:19:40,@mirekR9 @sputnikvaccine @AstraZeneca check out table 23 of this and other tables too because it took the penny a w… https://t.co/5r6ibs8Jm8,Twitter Web App
1337733048914358272,"Wales, United Kingdom",2020-12-12 12:16:27,"@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 

the #PfizerBioNTech a… https://t.co/IWELAATAmd",Twitter Web App
1337732996380696578,USA🇺🇸,2020-12-12 12:16:14,"FACT SHEET FOR RECIPIENTS AND CAREGIVERS

#PfizerBioNTech 
#CovidVaccine 

https://t.co/V0mn08VTwj",Twitter Web App
1337732077278662657,,2020-12-12 12:12:35,#CovidVaccine #Pfizer-BioNTech COVID-19 #PfizerBioNTech #COVID19 #CapeTown https://t.co/uCpwv0S4nl,Twitter for iPhone
1337728701820268544,"London, England",2020-12-12 11:59:10,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/6379SZjNQi",Twitter Web App
1337727767551553536,Egypt,2020-12-12 11:55:28,"#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
https://t.co/VZ6bDPbbPG",Twitter Web App
1340571472025141248,America,2020-12-20 08:15:20,"When The #CovidVaccine 
Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i",Twitter Web App
1340303747306696704,,2020-12-19 14:31:29,@realDonaldTrump Dairy dose of dumbsville by #DonTheCon #GrifterInChief #TrumpForPrison #TrumpCrimeFamily #COVID… https://t.co/gyiCvTuMOP,Twitter for Android
1340129728229871617,,2020-12-19 03:00:00,The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Over 200 #vaccines are being develo… https://t.co/6lboJqT9mn,Twitter Web App
1339891037712637952,The European Union,2020-12-18 11:11:32,"As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg",Twitter Web App
1339822296278519810,America,2020-12-18 06:38:22,"COVID-19: News and updates
public questioned whether he actually received the shot.
Video footage appeared to show… https://t.co/lBc2PJ2b9l",Twitter Web App
1339227682094059520,,2020-12-16 15:15:35,Tragedy. Another life taken by corporate greed and the evil pharmaceutical companies. #vaccination #vaccine… https://t.co/1YcShyQpR6,Twitter Web App
1338631874814619653,India | USA,2020-12-14 23:48:04,"I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3",Twitter for iPhone
1338623535913332736,"Wales, United Kingdom",2020-12-14 23:14:56,Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… https://t.co/Wsaup80aFs,Twitter for iPhone
1338623197390852100,"Medford, OR",2020-12-14 23:13:35,"The first COVID-19 vaccine doses have arrived in Oregon.  

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX",TweetDeck
1338619778689163266,"London, UK",2020-12-14 23:00:00,#Iran has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec… https://t.co/sJM874Mkc7,TweetDeck
1338618629667995649,"Los Angeles, CA",2020-12-14 22:55:26,Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap 👇🏼 https://t.co/P6yfRwS3Fq,Twitter for iPhone
1338615082239074304,"Chicago, IL",2020-12-14 22:41:20,"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers.… https://t.co/tR4DUVl5Ud",Twitter for Android
1338612922600333315,"LI, NYC, NJ, PA, NE, USA",2020-12-14 22:32:45,"Members of the @teamsters delivered the first #COVID19Vaccine this morning
#teamsters
#UPS
#COVID19 
#Pfizer… https://t.co/Ms3N1s9OES",Twitter Web App
1338611079258128385,"Seattle, WA",2020-12-14 22:25:26,Getting my first dose of the #PfizerBioNTech #CovidVaccine next weekend and seeing this #UNBOXING just made it so r… https://t.co/Y6Bqj5KRFR,Twitter for iPhone
1338607616600256513,Ontario,2020-12-14 22:11:40,Will you be taking the COVID-19 vaccine once available to you? #COVID19 #Pfizer #BioNTech #vaccine #PfizerBioNTech… https://t.co/bl7IiCeCCU,Twitter for iPhone
1338599948884070402,La Belle Province,2020-12-14 21:41:12,"@FarAndWide @erinotoole @MichelleRempel That Rempel-Trudeau exchange had to be seen to be believed. (I saw it, too)… https://t.co/6FAgcNZ1bL",Twitter Web App
1338597909881905153,,2020-12-14 21:33:06,#PfizerBioNTech New York state administered its first non-trial vaccine this morning to a health care worker. The P… https://t.co/FBY1lqLIM8,TweetDeck
1338596870634041349,Moronto City Of #Morons Canada,2020-12-14 21:28:58,"@CPHO_Canada #PfizerBioNTech = Female Sterilization 💥💥💥

#Pfizer =Untested No Liabilities 

#CrimesAgainstHumanity https://t.co/4TIvt3JEVn",Twitter Web App
1338595737190404099,Moronto City Of #Morons Canada,2020-12-14 21:24:28,@CPHO_Canada Key #crushCovid milestone achieved with shutting down &amp; #CoverUp of #PfizerBioNTech      untested No L… https://t.co/H5Sh5wspqs,Twitter Web App
1338594342265556995,"Jefferson City, MO",2020-12-14 21:18:55,#INBOX | @GovParsonMO says shipments of the #PfizerBioNTech vaccine will continue to ship to Missouri’s 21 vaccinat… https://t.co/w5xqB5gbW3,Twitter for iPhone
1338594150720045056,Hawaii & HongKong ,2020-12-14 21:18:10,@NYGovCuomo @CMargaronis @pfizer @UPS ?? #PfizerBioNTech are Germany based. ?..lets just hope the small numbers are… https://t.co/WWk28dHogd,Twitter for iPad
1338592427041579008,,2020-12-14 21:11:19,"ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… https://t.co/5JY1g7whhV",Twitter Media Studio
1338590172523470848,La Belle Province,2020-12-14 21:02:21,"@FarAndWide @erinotoole @MichelleRempel :: Screenshot #2 of that #QP exchange ::

Unfortunately, Hansard does not c… https://t.co/e4IVaggplj",Twitter Web App
1338587949370322952,"wilmington,de",2020-12-14 20:53:31,@MeghanMcCain As a physician currently with covid I cried.  #VaccinesSaveLives #PfizerBioNTech,Twitter for iPhone
1338587622214610946,La Belle Province,2020-12-14 20:52:13,"@dwain_campbell Unfortunately, Hansard does not capture all the aggro finger-pointing and desk-thumping that were/a… https://t.co/RbPKbFgPDE",Twitter Web App
1338583890156523520,,2020-12-14 20:37:23,"@CdnAdvocacy Hallo, the unroll you asked for: @CdnAdvocacy: 1- #UK #NHS #MHRA Updated #COVIDvaccine clinical guidel… https://t.co/GPDMc9exwV",ThreadReaderApp
1338579784125845506,La Belle Province,2020-12-14 20:21:04,"@fordnation Odd verb choice there, Doug.

You were on hand to observe -- to welcome, as Anita Anand put it -- under… https://t.co/mceUWV0ly4",Twitter Web App
1338578278056144897,Toronto ,2020-12-14 20:15:05,"The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto.

#PfizerBioNTech… https://t.co/VX9cisW1kf",Twitter Web App
1338578173777358849,Moronto City Of #Morons Canada,2020-12-14 20:14:40,"@PattyHajdu Would  you take the vaccine?
Listen to the expert 💥💥

#PfizerBioNTech = Untested… https://t.co/ho7JOADrIV",Twitter Web App
1338576273950568451,,2020-12-14 20:07:07,"Over the weekend, the #FAA issued guidance for pilots following use of the new #PfizerBioNTech #vaccine for… https://t.co/xFOCcWw0Wj",Twitter for iPhone
1338574693087936513,India,2020-12-14 20:00:51,#UgurSahin #ozlemtureci the #Muslim Scientists Husband-Wife are saving the world with their #PfizerBioNTech… https://t.co/g5zKRNrxMu,Twitter for Android
1338574277562560513,"Toronto, Ontario",2020-12-14 19:59:11,Surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the… https://t.co/d5C5MbwsvB,Twitter for iPhone
1338573260921901059,La Belle Province,2020-12-14 19:55:09,"@FarAndWide @erinotoole Or how about Erin O'Toole's hand-picked Health Critic, @MichelleRempel, going even further… https://t.co/355kTKmhGJ",Twitter Web App
1338572995992969217,BERLIN,2020-12-14 19:54:06,"Where did the #WarpSpeed money go, if not to the covid pioneers #PfizerBioNTech and #Moderna? Asking for a friend - #GrifterTrump klan",Twitter for iPhone
1338572466898100224,"New Jersey, USA",2020-12-14 19:52:00,"How the #PfizerBioNTech Vaccine Works?
This article made a detailed explanation.👇
https://t.co/srgcHyBLk4

#COVID19… https://t.co/t1nIsSQtTr",Twitter Web App
1338569634501554184, ,2020-12-14 19:40:44,@SkyNews It is a new type of vaccine. That man is so daft it hurts my ears listening to him.  The biggest question… https://t.co/zhfsh0trOl,Twitter Web App
1338569009067921418,La Belle Province,2020-12-14 19:38:15,"@theJagmeetSingh 🙋🏼‍♀️ Did you actually read the Global News article, Jagmeet?

This tweet -- embedded therein -- j… https://t.co/DS1age9lzt",Twitter Web App
1338567331778232320,"Sacramento, CA",2020-12-14 19:31:35,FIRST U.S. COVID-19 VACCINATIONS TODAY 🙌🏻 Thank you to everyone stepping up and getting it.  #CovidVaccine… https://t.co/mAdfhhQQhS,Twitter for Android
1338566353570033664,"Vancouver, BC, Canada",2020-12-14 19:27:42,"#AnitaQuidangen, a personal support worker in #Toronto, became one of the first people in #Canada to receive a… https://t.co/bgbOIL12Hp",Twitter Web App
1338565957866778624,"Oregon, USA",2020-12-14 19:26:08,"The state is supposed to get 35,100 doses total of the #PfizerBioNTech vaccine this week.
The remained 30,225 will… https://t.co/c8wzudbpUT",Twitter Web App
1338565402381537281,LA | OC ,2020-12-14 19:23:55,"#OrangeCounty will get 25K doses of  #PfizerBioNTech Vaccine by Wednesday Dec. 15, @ochealth confirms. 

https://t.co/ma71oNZu6w",Twitter for iPhone
1338565238082265089,"Oregon, USA",2020-12-14 19:23:16,"#BREAKING - just in from @OHAOregon on #COVID19 #vaccine:
-""Legacy Health is the first registered COVID-19 vaccine… https://t.co/bUnTxDGqzZ",Twitter Web App
1338564311518769152,La Belle Province,2020-12-14 19:19:35,"@asifintoronto @ctvqp 🙋🏼‍♀️ Ruh-roh, Anita, I (also) saw/heard Michelle Rempel suggest -- during #QP, in the House… https://t.co/KdH4QIrR4T",Twitter Web App
1338560750571446273,"Beaumont, Texas",2020-12-14 19:05:26,KFDM’s/FOX 4’s @THEPAIGEREPORT1 is at Baptist hospital getting a first hand look at where the Pfizer COVID-19 vacci… https://t.co/aPCqxD5wIA,Twitter for iPhone
1338557609540894720,"California, USA",2020-12-14 18:52:57,Canadian PM Justin Trudeau announced the arrival of the first of the vaccine vials in the country. #BioNTech #PfizerBioNTech,Twitter for Android
1338555378448076803,London,2020-12-14 18:44:06,Privileged be offered the #PfizerBioNTech vaccine. I would encourage everyone to take it up. It’ll help protect peo… https://t.co/GSuAZ6F5YT,Twitter for iPhone
1338555267244584969,"New York, NY",2020-12-14 18:43:39,"One of the first vaccines receivers in the US. Momentous for science. Hope has arrived.
#COVID19 #CovidVaccine… https://t.co/R3837E9SWS",Twitter Web App
1338554046957936646,"Portsmouth, England",2020-12-14 18:38:48,Half way there #COVID19 #CovidVaccine #vaccination #Pfizervaccine #PfizerBioNTech https://t.co/fQOSDAGOWD,Twitter for Android
1338552779640627204,"England, Italy ",2020-12-14 18:33:46,"Can’t wait to take my kids towards herd immunity 🐑 🐑 🥳🥳
#vaccines #PfizerBioNTech https://t.co/IittbUgeNo",Twitter for iPhone
1338551175587786752,India,2020-12-14 18:27:23,"Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
https://t.co/Tt7qxCQqDY
#Ontario… https://t.co/vacMDknWAV",Twitter Web App
1338548332218630144,Oakland,2020-12-14 18:16:06,"There is some good news: The first doses of the #PfizerBioNTech vaccine arrived in California last night.

Gov. Gav… https://t.co/cB3p7CivgW",TweetDeck
1338546341404930050,Madchester,2020-12-14 18:08:11,WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca… https://t.co/4I7rhvI5es,Twitter Web App
1338545220691038211,,2020-12-14 18:03:44,Make vaccine companies liable again... #PfizerBioNTech  #pfizer #johnsonandtoxin #vaccinesarepoison… https://t.co/gJC3BMYrKm,Twitter Web App
1338544403795881987,,2020-12-14 18:00:29,"The FDA Authorizes Emergency Use Of The Pfizer Vaccine
https://t.co/fqJizE0AQY
#PFE #Pfizer #Pfizervaccine… https://t.co/xvD26pXMkI",Twitter Web App
1338543202891161600,"Toronto, Ontario",2020-12-14 17:55:43,"@katejulien @TheresaLubowitz Supervising. 

I’m torn between politicians going first(ish) to show how important is,… https://t.co/miwZqf1p6y",Twitter for iPhone
1338542633354924035,Canada,2020-12-14 17:53:27,"#PfizerBioNTech  Just wondering, has every Pfizer employee all the way to the boardroom been vaccinated yet?",Twitter Web App
1338539742888079360,"Davenport, Toronto",2020-12-14 17:41:58,"Last night, the first #COVID19Vaccines arrived in Canada and as we speak, the first of the vaccines are being admin… https://t.co/TxsCWyC58j",TweetDeck
1338535849781301248,"Chicago, IL",2020-12-14 17:26:30,Happy Cold Chain Day!  The only way to get a vaccine distributed across the county #coldchain #PfizerBioNTech #industrial #cre,Twitter for iPhone
1338532479871946752,"Leicester, England",2020-12-14 17:13:06,Received my first dose of the #CovidVaccine #PfizerBioNTech today. I feel very privileged &amp; lucky to have this to p… https://t.co/1FNuUBzsEu,Twitter for Android
1338530691684843526,New Delhi,2020-12-14 17:06:00,"With several countries including the US and the UK now approving the use of #PfizerBioNTech's #COVID19Vaccine,… https://t.co/yaELVC1xMD",Twitter Web App
1338525766796128261,Kentucky,2020-12-14 16:46:26,The hospital I work at has received the vaccine. Our IV room made the first five doses to be given in the state. I’… https://t.co/ThiWmslq9j,Twitter for iPhone
1338523837638586368,,2020-12-14 16:38:46,"Last night, @AnitaOakville welcomed the first 30K doses of the #PfizerBioNTech #vaccine to 🇨🇦. Although we have a l… https://t.co/vnYhVS90SU",Twitter Web App
1338517641967902720,,2020-12-14 16:14:08,Historical moment #FirstDose of the #PfizerBioNTech #COVID_19 #Vaccine administered at #UPMC @upmchealthbeat @ Pitt… https://t.co/LyOAkRWWNX,Instagram
1338514671326744578,,2020-12-14 16:02:20,#BreakingNews A nurse in New York City on Monday became the first person in the United States to receive the corona… https://t.co/02Mu5HKYs5,Twitter Web App
1338514087005794305,France,2020-12-14 16:00:01,#UPDATE A nurse in New York City on Monday became the first person in the United States to receive the coronavirus… https://t.co/N4j8xorUzO,TweetDeck
1338504763235831814,"Dallas, TX",2020-12-14 15:22:58,#NEW: @methodistdallas has received its first shipment of #PfizerBioNTech's #COVID19 vaccine. Front line healthcare… https://t.co/OX3BOu8ana,Twitter Web App
1338501064878854150,"Lakeland, FL",2020-12-14 15:08:16,It’s kind of surreal that the vaccine is dropping today #PfizerBioNTech,Twitter for iPhone
1338499024903614467,,2020-12-14 15:00:10,"Coronavirus vaccine ships today, expect hospitals to be overwhelmed in nine  months  ...with baby deliveries 😁… https://t.co/CIhIpKoD0I",Twitter for Android
1338496766354681857,"California, USA",2020-12-14 14:51:11,"Per the CDC, persons with HIV and other immunocompromising conditions may still receive the COVID-19 vaccine unless… https://t.co/vjgKYxb8il",Twitter for iPhone
1338493267357339651,,2020-12-14 14:37:17,@realDonaldTrump I'm not graveling at the feet of someone who has killed over 290K USA. I appreciate the #scientist… https://t.co/dMLtO98QDq,Twitter Web App
1338492425921122306,Ahmedabad,2020-12-14 14:33:56,If science is same everywhere so should be it's results. Entire world should approve vaccine which one country has… https://t.co/YFCj0YtZHq,Twitter for Android
1338491684544536577,"Dallas, TX",2020-12-14 14:31:00,President Trump says the first #PfizerBioNTech #COVID19 vaccine in the United States has been administered. https://t.co/c4AIbXNRMz,Twitter Web App
1338491398379753480,"Alert,Nunavut",2020-12-14 14:29:51,"1st doses of #PfizerBioNTech's #COVID19 vaccine arrive in #Canada🙏🙏🙏

By @helloryanjones
https://t.co/g97stUTAPK https://t.co/Mdx5EON2N3",Twitter Web App
1338486761169645568,US | Singapore,2020-12-14 14:11:26,"#UPS, #FedEx To Transport Initial #PfizerBioNTech #COVID19Vaccine Doses 

$UPS $FDX

https://t.co/78l2X40fPL",Twitter Web App
1338486712964616202,Montreal,2020-12-14 14:11:14,#New Vaccination campaign begins today in Quebec. Residents at Maimonides will be among the first seniors in… https://t.co/kJQv5NbPQ9,Twitter for iPhone
1338485684529549312,"Cambridge, MA",2020-12-14 14:07:09,"Kudos UPS!

@UPS announced on 13th, its involvement &amp; full support of distribution efforts for #PfizerBioNTech's… https://t.co/PBQgKMnVtz",Twitter Web App
1338483993239560195,,2020-12-14 14:00:26,From Tuna #Fish To #COVID19 #Vaccine - How Container Freezers Used To Ship #Seafood Are Given A New Role -… https://t.co/gzedPMk8fN,Twitter Web App
1338483026905411586,"New Orleans, LA",2020-12-14 13:56:36,"The end is in sight, many of my coworkers and I are getting our first doses of the #PfizerBioNTech #CovidVaccine to… https://t.co/ZnUexwudiz",Twitter for iPhone
1338481628017004551,,2020-12-14 13:51:02,Pfizer received emergency use authorization from the Food and Drug Administration for the Covid-19 vaccine develope… https://t.co/BD8vRoaRPk,Twitter for iPhone
1338477015775780864,Land of Hope and Dreams,2020-12-14 13:32:42,Thank you Thank you Thank you to all of the scientists who worked on the development of the vaccine for COVID-19. T… https://t.co/GQib0ENDtH,Twitter for iPhone
1338476299216695296,Al Khobar,2020-12-14 13:29:52,WELL DONE USA 🇺🇲👍 #PfizerBioNTech #Pfizervaccine #COVID19 https://t.co/iR68dndGrs,Twitter for Android
1338475597195042816,"Calgary, AB",2020-12-14 13:27:04,"Sunday evening’s shipment is the first of an initial 30,000 doses of the Pfizer vaccine to be spread across 14 dist… https://t.co/thTxobuI11",SocialFlow
1338474021655109639,Montreal,2020-12-14 13:20:49,#WATCH: Shipments of initial doses of the COVID-19 vaccines arrived in selected ports of entry in Canada on Sunday… https://t.co/d3koIEm6vU,Twitter for iPhone
1338469899518132224,"Mumbai, India",2020-12-14 13:04:26,"#Singapore Approves Pfizer #COVID19 Vaccine, First Shipment Expected by End of #December, Says PM Lee Hsien Loong… https://t.co/KkamVtF4TW",Twitter Web App
1338469289532088320,"Sydney, New South Wales",2020-12-14 13:02:00,Here are the lipids used in lipid nanoparticle used the #mRNA  BioNTech/Pfizer #PfizerBioNTech  #CovidVaccine The t… https://t.co/0zMNPzZxjE,Twitter Web App
1338466940059344898,Global,2020-12-14 12:52:40,Canada to begin #PfizerBioNTech #Covid19Vaccine roll-out https://t.co/GfunFFpzF1,Twitter Web App
1338466008466505728,India,2020-12-14 12:48:58,"More approvals to #PfizerBioNTech vaccine: #Singapore approves @pfizer #CovidVaccine, expects first shots by Decemb… https://t.co/fXYyeHXQTf",Twitter Web App
1338465837649367041,,2020-12-14 12:48:17,First Pfizer coronavirus vaccine doses set to arrive at hospitals https://t.co/DyaXNPTR0l #PfizerBioNTech… https://t.co/8LcRwWPBXv,Twitter for iPhone
1338463981372141570,South Africa,2020-12-14 12:40:55,"vaccinated. More than 1.1 million new cases have been confirmed in the past week and the death toll is above 306,00… https://t.co/gLvVfGEKEi",Twitter Web App
1338463828057657344,South Africa,2020-12-14 12:40:18,"US HEALTH CARE WORKERS &amp; MOST VULNERABLE TO RECEIVE THE PFIZER-BIONTECH SHOTS
Trucks on Sunday began shipping milli… https://t.co/4AAgDXqvsU",Twitter Web App
1338463448309657602,"London, England",2020-12-14 12:38:48,@sammwittings Oh great - thought you wouldnt be able to see her before Xmas - btw I heard on the radio that Shropsh… https://t.co/DWeYPMXCzN,Twitter for Android
1338455738520391680,"Dallas, TX",2020-12-14 12:08:10,#PfizerBioNTech's #COVID19 vaccines are making their way to distributions sites nationwide. @FedEx says some of the… https://t.co/cM5YwBod55,Twitter Web App
1338453203076096005,,2020-12-14 11:58:05,US is all set to start its #COVID19  #vaccination  drive with the doses of #PfizerBioNTech  #vaccine that is ready… https://t.co/iClQaqEBBU,Twitter Web App
