id,user_location,date,text,source,Classification,Confidence
1.34E+18,,19-12-20 3:00,The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Over 200 #vaccines are being develo… https://t.co/6lboJqT9mn,Twitter Web App,Neutral,1
1.34E+18,The European Union,18-12-20 11:11,"As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg",Twitter Web App,Neutral,0.588
1.34E+18,America,18-12-20 6:38,"COVID-19: News and updates
public questioned whether he actually received the shot.
Video footage appeared to show… https://t.co/lBc2PJ2b9l",Twitter Web App,Positive,0.865
1.34E+18,,16-12-20 15:15,Tragedy. Another life taken by corporate greed and the evil pharmaceutical companies. #vaccination #vaccine… https://t.co/1YcShyQpR6,Twitter Web App,Neutral,0.874
1.34E+18,India | USA,14-12-20 23:48,"I’ve never been so excited to get a vaccine 💉💉💉

#CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3",Twitter for iPhone,Neutral,0.298
1.34E+18,"Wales, United Kingdom",14-12-20 23:14,Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… https://t.co/Wsaup80aFs,Twitter for iPhone,Positive,0.745
1.34E+18,"Medford, OR",14-12-20 23:13,"The first COVID-19 vaccine doses have arrived in Oregon.  

Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX",TweetDeck,Positive,0.712
1.34E+18,"London, UK",14-12-20 23:00,#Iran has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec… https://t.co/sJM874Mkc7,TweetDeck,Neutral,0.884
1.34E+18,"Los Angeles, CA",14-12-20 22:55,Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap 👇🏼 https://t.co/P6yfRwS3Fq,Twitter for iPhone,Positive,0.725
1.34E+18,"Chicago, IL",14-12-20 22:41,"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers.… https://t.co/tR4DUVl5Ud",Twitter for Android,Positive,0.575
1.34E+18,"LI, NYC, NJ, PA, NE, USA",14-12-20 22:32,"Members of the @teamsters delivered the first #COVID19Vaccine this morning
#teamsters
#UPS
#COVID19 
#Pfizer… https://t.co/Ms3N1s9OES",Twitter Web App,Neutral,0.624
1.34E+18,"Seattle, WA",14-12-20 22:25,Getting my first dose of the #PfizerBioNTech #CovidVaccine next weekend and seeing this #UNBOXING just made it so r… https://t.co/Y6Bqj5KRFR,Twitter for iPhone,Positive,1
1.34E+18,Ontario,14-12-20 22:11,Will you be taking the COVID-19 vaccine once available to you? #COVID19 #Pfizer #BioNTech #vaccine #PfizerBioNTech… https://t.co/bl7IiCeCCU,Twitter for iPhone,Neutral,0.806
1.34E+18,La Belle Province,14-12-20 21:41,"@FarAndWide @erinotoole @MichelleRempel That Rempel-Trudeau exchange had to be seen to be believed. (I saw it, too)… https://t.co/6FAgcNZ1bL",Twitter Web App,Positive,0.365
1.34E+18,,14-12-20 21:33,#PfizerBioNTech New York state administered its first non-trial vaccine this morning to a health care worker. The P… https://t.co/FBY1lqLIM8,TweetDeck,Positive,0.299
1.34E+18,Moronto City Of #Morons Canada,14-12-20 21:28,"@CPHO_Canada #PfizerBioNTech = Female Sterilization 💥💥💥

#Pfizer =Untested No Liabilities 

#CrimesAgainstHumanity https://t.co/4TIvt3JEVn",Twitter Web App,Neutral,0.165
1.34E+18,Moronto City Of #Morons Canada,14-12-20 21:24,@CPHO_Canada Key #crushCovid milestone achieved with shutting down &amp; #CoverUp of #PfizerBioNTech      untested No L… https://t.co/H5Sh5wspqs,Twitter Web App,Positive,1
1.34E+18,"Jefferson City, MO",14-12-20 21:18,#INBOX | @GovParsonMO says shipments of the #PfizerBioNTech vaccine will continue to ship to Missouri’s 21 vaccinat… https://t.co/w5xqB5gbW3,Twitter for iPhone,Neutral,0.313
1.34E+18,Hawaii & HongKong ,14-12-20 21:18,@NYGovCuomo @CMargaronis @pfizer @UPS ?? #PfizerBioNTech are Germany based. ?..lets just hope the small numbers are… https://t.co/WWk28dHogd,Twitter for iPad,Neutral,0.885
1.34E+18,,14-12-20 21:11,"ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… https://t.co/5JY1g7whhV",Twitter Media Studio,Negative,0.347
1.34E+18,La Belle Province,14-12-20 21:02,"@FarAndWide @erinotoole @MichelleRempel :: Screenshot #2 of that #QP exchange ::

Unfortunately, Hansard does not c… https://t.co/e4IVaggplj",Twitter Web App,Positive,0.77
1.34E+18,"wilmington,de",14-12-20 20:53,@MeghanMcCain As a physician currently with covid I cried.  #VaccinesSaveLives #PfizerBioNTech,Twitter for iPhone,Positive,0.839
1.34E+18,La Belle Province,14-12-20 20:52,"@dwain_campbell Unfortunately, Hansard does not capture all the aggro finger-pointing and desk-thumping that were/a… https://t.co/RbPKbFgPDE",Twitter Web App,Positive,0.435
1.34E+18,,14-12-20 20:37,"@CdnAdvocacy Hallo, the unroll you asked for: @CdnAdvocacy: 1- #UK #NHS #MHRA Updated #COVIDvaccine clinical guidel… https://t.co/GPDMc9exwV",ThreadReaderApp,Negative,0.632
1.34E+18,La Belle Province,14-12-20 20:21,"@fordnation Odd verb choice there, Doug.

You were on hand to observe -- to welcome, as Anita Anand put it -- under… https://t.co/mceUWV0ly4",Twitter Web App,Negative,0.507
1.34E+18,Toronto ,14-12-20 20:15,"The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto.

#PfizerBioNTech… https://t.co/VX9cisW1kf",Twitter Web App,Negative,0.31
1.34E+18,Moronto City Of #Morons Canada,14-12-20 20:14,"@PattyHajdu Would  you take the vaccine?
Listen to the expert 💥💥

#PfizerBioNTech = Untested… https://t.co/ho7JOADrIV",Twitter Web App,Neutral,0.36
1.34E+18,,14-12-20 20:07,"Over the weekend, the #FAA issued guidance for pilots following use of the new #PfizerBioNTech #vaccine for… https://t.co/xFOCcWw0Wj",Twitter for iPhone,Neutral,0.867
1.34E+18,India,14-12-20 20:00,#UgurSahin #ozlemtureci the #Muslim Scientists Husband-Wife are saving the world with their #PfizerBioNTech… https://t.co/g5zKRNrxMu,Twitter for Android,Neutral,0.661
1.34E+18,"Toronto, Ontario",14-12-20 19:59,Surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the… https://t.co/d5C5MbwsvB,Twitter for iPhone,Positive,0.695
1.34E+18,La Belle Province,14-12-20 19:55,"@FarAndWide @erinotoole Or how about Erin O'Toole's hand-picked Health Critic, @MichelleRempel, going even further… https://t.co/355kTKmhGJ",Twitter Web App,Positive,0.811
1.34E+18,BERLIN,14-12-20 19:54,"Where did the #WarpSpeed money go, if not to the covid pioneers #PfizerBioNTech and #Moderna? Asking for a friend - #GrifterTrump klan",Twitter for iPhone,Neutral,0.494
1.34E+18,"New Jersey, USA",14-12-20 19:52,"How the #PfizerBioNTech Vaccine Works?
This article made a detailed explanation.👇
https://t.co/srgcHyBLk4

#COVID19… https://t.co/t1nIsSQtTr",Twitter Web App,Neutral,0.692
1.34E+18, ,14-12-20 19:40,@SkyNews It is a new type of vaccine. That man is so daft it hurts my ears listening to him.  The biggest question… https://t.co/zhfsh0trOl,Twitter Web App,Neutral,1
1.34E+18,La Belle Province,14-12-20 19:38,"@theJagmeetSingh 🙋🏼‍♀️ Did you actually read the Global News article, Jagmeet?

This tweet -- embedded therein -- j… https://t.co/DS1age9lzt",Twitter Web App,Negative,0.656
1.34E+18,"Sacramento, CA",14-12-20 19:31,FIRST U.S. COVID-19 VACCINATIONS TODAY 🙌🏻 Thank you to everyone stepping up and getting it.  #CovidVaccine… https://t.co/mAdfhhQQhS,Twitter for Android,Positive,1
1.34E+18,"Vancouver, BC, Canada",14-12-20 19:27,"#AnitaQuidangen, a personal support worker in #Toronto, became one of the first people in #Canada to receive a… https://t.co/bgbOIL12Hp",Twitter Web App,Positive,0.42
1.34E+18,"Oregon, USA",14-12-20 19:26,"The state is supposed to get 35,100 doses total of the #PfizerBioNTech vaccine this week.
The remained 30,225 will… https://t.co/c8wzudbpUT",Twitter Web App,Neutral,0.578
1.34E+18,LA | OC ,14-12-20 19:23,"#OrangeCounty will get 25K doses of  #PfizerBioNTech Vaccine by Wednesday Dec. 15, @ochealth confirms. 

https://t.co/ma71oNZu6w",Twitter for iPhone,Positive,0.772
1.34E+18,"Oregon, USA",14-12-20 19:23,"#BREAKING - just in from @OHAOregon on #COVID19 #vaccine:
-""Legacy Health is the first registered COVID-19 vaccine… https://t.co/bUnTxDGqzZ",Twitter Web App,Positive,0.102
1.34E+18,La Belle Province,14-12-20 19:19,"@asifintoronto @ctvqp 🙋🏼‍♀️ Ruh-roh, Anita, I (also) saw/heard Michelle Rempel suggest -- during #QP, in the House… https://t.co/KdH4QIrR4T",Twitter Web App,Neutral,0.404
1.34E+18,"Beaumont, Texas",14-12-20 19:05,KFDM’s/FOX 4’s @THEPAIGEREPORT1 is at Baptist hospital getting a first hand look at where the Pfizer COVID-19 vacci… https://t.co/aPCqxD5wIA,Twitter for iPhone,Neutral,0.865
1.34E+18,"California, USA",14-12-20 18:52,Canadian PM Justin Trudeau announced the arrival of the first of the vaccine vials in the country. #BioNTech #PfizerBioNTech,Twitter for Android,Neutral,0.652
1.34E+18,London,14-12-20 18:44,Privileged be offered the #PfizerBioNTech vaccine. I would encourage everyone to take it up. It’ll help protect peo… https://t.co/GSuAZ6F5YT,Twitter for iPhone,Neutral,0.718
1.34E+18,"New York, NY",14-12-20 18:43,"One of the first vaccines receivers in the US. Momentous for science. Hope has arrived.
#COVID19 #CovidVaccine… https://t.co/R3837E9SWS",Twitter Web App,Neutral,1
1.34E+18,"Portsmouth, England",14-12-20 18:38,Half way there #COVID19 #CovidVaccine #vaccination #Pfizervaccine #PfizerBioNTech https://t.co/fQOSDAGOWD,Twitter for Android,Neutral,0.814
1.34E+18,"England, Italy ",14-12-20 18:33,"Can’t wait to take my kids towards herd immunity 🐑 🐑 🥳🥳
#vaccines #PfizerBioNTech https://t.co/IittbUgeNo",Twitter for iPhone,Neutral,0.381
1.34E+18,India,14-12-20 18:27,"Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
https://t.co/Tt7qxCQqDY
#Ontario… https://t.co/vacMDknWAV",Twitter Web App,Neutral,0.437
1.34E+18,Oakland,14-12-20 18:16,"There is some good news: The first doses of the #PfizerBioNTech vaccine arrived in California last night.

Gov. Gav… https://t.co/cB3p7CivgW",TweetDeck,Positive,0.371
1.34E+18,Madchester,14-12-20 18:08,WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca… https://t.co/4I7rhvI5es,Twitter Web App,Neutral,0.794
1.34E+18,,14-12-20 18:03,Make vaccine companies liable again... #PfizerBioNTech  #pfizer #johnsonandtoxin #vaccinesarepoison… https://t.co/gJC3BMYrKm,Twitter Web App,Neutral,0.816
1.34E+18,,14-12-20 18:00,"The FDA Authorizes Emergency Use Of The Pfizer Vaccine
https://t.co/fqJizE0AQY
#PFE #Pfizer #Pfizervaccine… https://t.co/xvD26pXMkI",Twitter Web App,Neutral,1
1.34E+18,"Toronto, Ontario",14-12-20 17:55,"@katejulien @TheresaLubowitz Supervising. 

I’m torn between politicians going first(ish) to show how important is,… https://t.co/miwZqf1p6y",Twitter for iPhone,Neutral,0.938
1.34E+18,Canada,14-12-20 17:53,"#PfizerBioNTech  Just wondering, has every Pfizer employee all the way to the boardroom been vaccinated yet?",Twitter Web App,Neutral,0.607
1.34E+18,"Davenport, Toronto",14-12-20 17:41,"Last night, the first #COVID19Vaccines arrived in Canada and as we speak, the first of the vaccines are being admin… https://t.co/TxsCWyC58j",TweetDeck,Neutral,0.599
1.34E+18,"Chicago, IL",14-12-20 17:26,Happy Cold Chain Day!  The only way to get a vaccine distributed across the county #coldchain #PfizerBioNTech #industrial #cre,Twitter for iPhone,Positive,0.304
1.34E+18,"Leicester, England",14-12-20 17:13,Received my first dose of the #CovidVaccine #PfizerBioNTech today. I feel very privileged &amp; lucky to have this to p… https://t.co/1FNuUBzsEu,Twitter for Android,Positive,0.759
1.34E+18,New Delhi,14-12-20 17:06,"With several countries including the US and the UK now approving the use of #PfizerBioNTech's #COVID19Vaccine,… https://t.co/yaELVC1xMD",Twitter Web App,Neutral,1
1.34E+18,Kentucky,14-12-20 16:46,The hospital I work at has received the vaccine. Our IV room made the first five doses to be given in the state. I’… https://t.co/ThiWmslq9j,Twitter for iPhone,Positive,1
1.34E+18,,14-12-20 16:38,"Last night, @AnitaOakville welcomed the first 30K doses of the #PfizerBioNTech #vaccine to 🇨🇦. Although we have a l… https://t.co/vnYhVS90SU",Twitter Web App,Positive,0.307
1.34E+18,,14-12-20 16:14,Historical moment #FirstDose of the #PfizerBioNTech #COVID_19 #Vaccine administered at #UPMC @upmchealthbeat @ Pitt… https://t.co/LyOAkRWWNX,Instagram,Positive,0.406
1.34E+18,,14-12-20 16:02,#BreakingNews A nurse in New York City on Monday became the first person in the United States to receive the corona… https://t.co/02Mu5HKYs5,Twitter Web App,Positive,0.482
1.34E+18,France,14-12-20 16:00,#UPDATE A nurse in New York City on Monday became the first person in the United States to receive the coronavirus… https://t.co/N4j8xorUzO,TweetDeck,Negative,0.768
1.34E+18,"Dallas, TX",14-12-20 15:22,#NEW: @methodistdallas has received its first shipment of #PfizerBioNTech's #COVID19 vaccine. Front line healthcare… https://t.co/OX3BOu8ana,Twitter Web App,Neutral,0.834
1.34E+18,"Lakeland, FL",14-12-20 15:08,It’s kind of surreal that the vaccine is dropping today #PfizerBioNTech,Twitter for iPhone,Negative,0.411
1.34E+18,,14-12-20 15:00,"Coronavirus vaccine ships today, expect hospitals to be overwhelmed in nine  months  ...with baby deliveries 😁… https://t.co/CIhIpKoD0I",Twitter for Android,Neutral,0.865
1.34E+18,"California, USA",14-12-20 14:51,"Per the CDC, persons with HIV and other immunocompromising conditions may still receive the COVID-19 vaccine unless… https://t.co/vjgKYxb8il",Twitter for iPhone,Positive,0.23
1.34E+18,,14-12-20 14:37,@realDonaldTrump I'm not graveling at the feet of someone who has killed over 290K USA. I appreciate the #scientist… https://t.co/dMLtO98QDq,Twitter Web App,Neutral,0.575
1.34E+18,Ahmedabad,14-12-20 14:33,If science is same everywhere so should be it's results. Entire world should approve vaccine which one country has… https://t.co/YFCj0YtZHq,Twitter for Android,Neutral,1
1.34E+18,"Dallas, TX",14-12-20 14:31,President Trump says the first #PfizerBioNTech #COVID19 vaccine in the United States has been administered. https://t.co/c4AIbXNRMz,Twitter Web App,Neutral,0.958
1.34E+18,"Alert,Nunavut",14-12-20 14:29,"1st doses of #PfizerBioNTech's #COVID19 vaccine arrive in #Canada🙏🙏🙏

By @helloryanjones
https://t.co/g97stUTAPK https://t.co/Mdx5EON2N3",Twitter Web App,Neutral,0.273
1.34E+18,US | Singapore,14-12-20 14:11,"#UPS, #FedEx To Transport Initial #PfizerBioNTech #COVID19Vaccine Doses 

$UPS $FDX

https://t.co/78l2X40fPL",Twitter Web App,Positive,0.487
1.34E+18,Montreal,14-12-20 14:11,#New Vaccination campaign begins today in Quebec. Residents at Maimonides will be among the first seniors in… https://t.co/kJQv5NbPQ9,Twitter for iPhone,Neutral,0.066
1.34E+18,"Cambridge, MA",14-12-20 14:07,"Kudos UPS!

@UPS announced on 13th, its involvement &amp; full support of distribution efforts for #PfizerBioNTech's… https://t.co/PBQgKMnVtz",Twitter Web App,Positive,0.832
1.34E+18,,14-12-20 14:00,From Tuna #Fish To #COVID19 #Vaccine - How Container Freezers Used To Ship #Seafood Are Given A New Role -… https://t.co/gzedPMk8fN,Twitter Web App,Neutral,0.768
1.34E+18,"New Orleans, LA",14-12-20 13:56,"The end is in sight, many of my coworkers and I are getting our first doses of the #PfizerBioNTech #CovidVaccine to… https://t.co/ZnUexwudiz",Twitter for iPhone,Positive,0.797
1.34E+18,,14-12-20 13:51,Pfizer received emergency use authorization from the Food and Drug Administration for the Covid-19 vaccine develope… https://t.co/BD8vRoaRPk,Twitter for iPhone,Neutral,0.495
1.34E+18,Land of Hope and Dreams,14-12-20 13:32,Thank you Thank you Thank you to all of the scientists who worked on the development of the vaccine for COVID-19. T… https://t.co/GQib0ENDtH,Twitter for iPhone,Neutral,0.314
1.34E+18,Al Khobar,14-12-20 13:29,WELL DONE USA 🇺🇲👍 #PfizerBioNTech #Pfizervaccine #COVID19 https://t.co/iR68dndGrs,Twitter for Android,Positive,0.485
1.34E+18,"Calgary, AB",14-12-20 13:27,"Sunday evening’s shipment is the first of an initial 30,000 doses of the Pfizer vaccine to be spread across 14 dist… https://t.co/thTxobuI11",SocialFlow,Neutral,0.681
1.34E+18,Montreal,14-12-20 13:20,#WATCH: Shipments of initial doses of the COVID-19 vaccines arrived in selected ports of entry in Canada on Sunday… https://t.co/d3koIEm6vU,Twitter for iPhone,Neutral,0.666
1.34E+18,"Mumbai, India",14-12-20 13:04,"#Singapore Approves Pfizer #COVID19 Vaccine, First Shipment Expected by End of #December, Says PM Lee Hsien Loong… https://t.co/KkamVtF4TW",Twitter Web App,Neutral,0.621
1.34E+18,"Sydney, New South Wales",14-12-20 13:02,Here are the lipids used in lipid nanoparticle used the #mRNA  BioNTech/Pfizer #PfizerBioNTech  #CovidVaccine The t… https://t.co/0zMNPzZxjE,Twitter Web App,Neutral,0.672
1.34E+18,Global,14-12-20 12:52,Canada to begin #PfizerBioNTech #Covid19Vaccine roll-out https://t.co/GfunFFpzF1,Twitter Web App,Positive,0.622
1.34E+18,India,14-12-20 12:48,"More approvals to #PfizerBioNTech vaccine: #Singapore approves @pfizer #CovidVaccine, expects first shots by Decemb… https://t.co/fXYyeHXQTf",Twitter Web App,Neutral,0.543
